Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.77309428,10.87895211,12.66344105,13.6119025,13.66906475,17.65596608,19.50790861,19.02784563,17.00189753,14.60312349,13.60161546,12.00828157,13.64579031,13.059505,12.46125232,12.75611368,12.77735272,13.39753879,12.92929293,11.43021725,10.51236116,9.828187743,10.45371797,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.645796463,2.645796296,2.645796147,2.64579628,2.645796405,2.645796388,2.691229996,2.25196123,3.421979789,4.683414573,4.182287649,4.263046495,4.769643122,4.961543264,4.978112583,5.298856567,5.298856537,5.298856591,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,1.08902044,,,2.272655184,1.821159738,,3.349728129,3.885031858,3.168189454,3.956333198,,,4.847096432,1.744563757,3.91987189,1.665524364,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.67898904,13.66825389,,,,,,,,,,,,,,,,,,,12.53756823,12.40046725,11.38454576,13.17952137,13.31457802,12.19221378,12.37213532,12.5861561,12.58615609,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.533322801,5.533322807,5.533322797,5.533322815,6.502938027,6.469194341,7.124309347,6.536867313,6.919962322,6.256841712,5.721397705,7.021247318,6.689966978,6.689966981,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.833908174,7.443633952,4.385088736,3.814686374,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.007403613,2.007406063,2.007404992,2.00523263,2.005231668,2.005231614,2.005232109,2.005231608,2.005232037,1.673110585,2.00523199,2.005231881,2.005231945,2.005231681,2.00523269,2.005232005,2.005232045,1.996237546,1.658243503,2.15410135,1.697366994,1.96350842,1.963509325,
Bolivia,,,,,,,,,,,28.09187279,27.04791345,23.70173103,24.44444444,24.92599171,16.31116688,21.11032532,18.38980597,20.51022474,18.55290102,11.02164731,5.618241655,6.437046067,10.49643836,9.580685338,11.39317032,6.270352873,5.409532649,3.690518739,5.102162134,5.301559188,4.041831106,4.996055097,5.408835212,4.907309493,4.842977134,4.436373508,4.311770742,4.665735597,5.979446403,5.171678676,4.095095642,4.095096973,4.09509697,4.095096986,4.095096986,5.206032246,5.206032245,5.206032239,5.206032238,5.210967285,5.21096728,3.550151515,3.550151516,3.550151514,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.24252974,,9.816380227,10.55974829,9.380692168,7.204411534,8.124905029,7.144815862,7.257617005,7.405628391,6.905375852,6.737727396,6.51853068,6.113391737,5.931412631,5.516517635,5.583178478,5.688903684,5.640072527,6.600978377,6.552759982,6.861837973,7.088594088,6.832191355,6.619542414,6.377651909,6.344884308,6.827181291,6.827181291,
Barbados,,,,,,,,,,,14.773182,15.94021674,13.6081705,13.11131633,15.90639576,17.23835652,20.86524132,23.37705396,15.63492153,18.24200226,12.47166599,17.52159783,14.22453185,12.28489913,11.37980391,8.770771126,9.112882368,9.490187888,9.279851402,7.850403295,6.282997833,4.331385708,3.989062279,3.535724113,3.204185233,3.187242348,3.309050833,3.30905035,,,,,,,,,,,,,,,,,,,,,,
