Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.256757527,6.619128788,6.096298541,7.736925776,5.971682111,4.784319892,4.921774584,5.184622539,5.351820172,5.737828896,5.759917363,5.759917396,5.759917334,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133231266,0.006528736,0.005712575,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.058613,13.5935363,,,,,,,,,,,,,,,,,,,9.874235167,9.757846924,10.24810113,8.554605737,8.44096674,9.044474328,7.359807974,8.26804445,8.268044477,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.28542473,19.2854247,19.28542472,19.2854247,17.46429609,24.36491601,24.27152461,22.71884799,22.42977904,16.98743258,13.11112076,19.08734572,18.46495138,18.46495138,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.925170157,2.281581565,1.430482476,4.201878725,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.00512044,11.0051199,11.00512011,10.99320913,10.99320947,10.99320883,10.9932098,10.99320897,10.9932091,10.99320908,9.673967824,10.86053613,10.9932088,10.99320948,10.9932098,10.99320851,10.99320947,10.94389864,13.31807234,15.15190577,14.25546922,11.62011983,11.62012052,
Bolivia,,,,,,,,,,,0.176678445,0.154559505,,0.658436214,1.302545885,1.087411125,2.227722772,1.621778164,1.822231221,3.5221843,3.497888068,2.127409497,0.327947666,0.57716895,0.294292782,0.150849536,0.113433125,0.180774479,0.453283979,0.734514162,0.525602879,0.362411273,0.422683802,0.652970607,0.533469862,0.363199549,0.401852103,0.378966158,0.364974763,0.320744995,0.332620815,0.210976147,0.210976225,0.210976222,0.210976209,0.210976214,0.733705115,0.733705114,0.733705115,0.733705118,0.734400628,0.734400627,0.876570515,0.876570515,0.876570516,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.75456919,,18.08999981,16.54940261,18.11785664,20.37124228,20.31855427,21.04466487,19.61689179,17.64027363,19.10617811,19.88434013,19.69983393,18.56473356,19.8259643,18.96026002,19.60161484,20.66195608,22.45180569,21.27493149,22.4777948,22.92859529,21.67991048,22.13352994,19.88737933,18.42251602,16.37152051,18.53179149,18.53179149,
Barbados,,,,,,,,,,,6.682673069,7.410384661,7.7787623,9.961906961,8.840224524,8.892712781,9.307541351,7.558054719,5.60294666,10.35166181,11.23484542,12.30790587,18.67873249,35.98121904,35.70314078,24.03567583,18.66356305,12.29715126,10.04543287,6.457752223,4.959403462,3.455363614,7.263023903,7.340915344,8.378846315,7.547932191,7.755897548,7.755897829,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.426484907,,15.12961688,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,,,4.184925504,2.798232695,3.975659229,5.746445498,5.534531693,2.752830925,,7.746895328,6.220735786,8.570766736,3.417928776,,3.201970443,4.734369353,3.111440364,3.100333632,2.805303559,1.911355702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
