Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.19080549,19.49662632,21.61810976,22.57043368,19.51079137,19.10963053,17.86760398,18.36834392,16.35673624,17.01819353,16.48636954,16.49776615,20.15661333,21.20853081,22.40545567,19.17823309,20.27543994,19.60406635,18.28763829,17.05069124,15.91544249,14.54150484,15.46702142,
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.612244898,6.39019301,6.684110371,7.15536105,6.405228758,8.120062693,6.317844305,5.859629111,9.137304323,9.962397557,9.344520659,10.54151221,11.09698979,12.48763376,13.34361397,1.232820067,1.232820048,1.232820078,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,13.01638716,,,34.26586735,51.92596553,,45.96558272,45.54222438,57.26556043,46.25209371,,,49.22887131,65.61764514,55.71697473,53.98078315,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84516951,13.37444912,,,,,,,,,,,,,,,,,,,23.37204346,23.52477237,24.06419904,20.88374875,18.63210608,19.91559044,21.01661086,17.9260066,17.92600661,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.95834134,18.95834132,18.95834132,18.95834134,23.84163915,21.21606766,14.76554873,15.91236598,22.20949658,23.24538711,20.89460236,26.98457395,24.93799287,24.93799287,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.73635136,64.60543767,58.27789173,57.32803609,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.857710933,9.857710352,9.857710165,9.847040824,9.847041776,9.847040703,9.847041403,9.847041151,9.847040981,9.847041516,9.847041243,9.847041034,9.847040858,9.847040928,9.847040736,9.847040513,9.847040421,9.802871861,10.23251428,10.71163208,9.152200059,9.87829744,9.87829777,
Bolivia,,,,,,,,,,,46.64310954,47.29520866,47.13715047,53.33333333,46.83244523,54.57967378,47.41867044,42.16623226,40.63575623,38.53924915,27.51451954,37.02985425,37.42209097,53.70155251,52.10760929,58.74668217,28.88070158,33.33046039,30.14657245,32.64595025,27.69659455,31.04416064,33.46670343,31.12870293,33.76649831,35.57689946,30.9402219,33.16219389,34.63345779,36.55594748,36.75313732,39.00713088,39.00714368,39.00714369,39.00714368,39.0071437,48.91632851,48.91632853,48.91632852,48.91632853,48.96269862,,49.39120064,49.39120063,49.39120063,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.63504497,,16.1894232,15.68541675,16.37042375,16.60460272,20.75623154,21.12258183,20.43851033,19.35994755,16.6559216,18.71902964,18.65581067,19.01510502,17.89533283,19.03703096,19.02249448,18.21930445,14.45022181,17.16156524,17.66047153,18.85356151,20.80532514,19.35408011,19.87639668,23.36575484,23.13247201,23.0595584,23.0595584,
Barbados,,,,,,,,,,,40.51438757,39.30868167,38.33418831,35.71895802,39.4624081,40.46362884,33.62548508,31.22024323,45.32635837,34.48340268,35.36554397,42.11699574,33.13323179,24.45075854,30.84045064,42.37143269,42.45797183,42.9544402,41.30332923,45.12723172,43.21953682,34.61259719,30.70237141,34.09025039,36.48598771,37.05960238,35.87862172,35.87861552,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
