Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1251574.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207536.0,91441.0,39167.0,636395.0,578663.0,557841.0,404390.0,579532.0,0.0,16132003.0,847714.0,2216157.0,720697.0,0.0,2102563.0,951789.0,829438.0,1178241.0,1185760.0,2005990.0,2274068.0,2458685.0,2168283.0,2918557.0,2522585.0,3254979.0,3380809.0,3506639.0,3632470.0,3758300.0,3884131.0,4009961.0
Barbados,1203.0,1410.0,6113.0,5379.0,7594.0,1633.0,6637.0,5274.0,10982.0,63387.0,7478.0,147775.0,44371.0,93343.0,16937.0,30333.0,51966.0,0.0,212170.0,37088.0,51902.0,63743.0,6745.0,3603.0,7320.0,9120.0,8875.0,41935.0,49617.0,48098.0,48709.0,37425.0,39602.0,55957.0,40696.0,71314.0,51810.0,40429.0,31490.0,22809.0,81080.0,18316.0,6388.0,7879.0,5113.0,2366.0,0.0,0.0
Belarus,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,396029.0,196337.0,561001.0,304293.0,297325.0,1251903.0,881006.0,536155.0,1092401.0,1147022.0,1392966.0,908155.0,1603498.0,1305368.0,1206192.0,1760658.0,901417.0,969766.0,1038116.0,1106465.0
Belgium,22590981.0,21922724.0,21711545.0,25169432.0,26157924.0,20096804.0,21692857.0,16239803.0,19744101.0,21494410.0,17684647.0,16952067.0,15352537.0,14755428.0,17012903.0,17512530.0,15201726.0,15437728.0,14842459.0,14159219.0,14375003.0,13815270.0,13151899.0,11057562.0,12339271.0,8097219.0,6458102.0,6146253.0,9015450.0,8291463.0,8367573.0,6538007.0,7676296.0,9261012.0,7761803.0,6160413.0,9157698.0,10725131.0,9421474.0,996248.0,4756035.0,6280867.0,4572382.0,5503569.0,4761275.0,4482170.0,4203065.0,3923960.0
Belize,0.0,0.0,0.0,0.0,0.0,100.0,460.0,676.0,6086.0,440.0,639.0,0.0,1161.0,6877.0,102863.0,926.0,9756.0,1496.0,3799.0,7705.0,18977.0,1250.0,160687.0,1554.0,201212.0,18880.0,1449.0,17151.0,26007.0,2376.0,30071.0,90656.0,82829.0,92811.0,46780.0,36993.0,51275.0,52830.0,131419.0,54155.0,44587.0,31207.0,46649.0,35565.0,52689.0,51907.0,51121.0,50334.0
Benin,2541.0,3163.0,5304.0,4067.0,4060.0,0.0,0.0,0.0,0.0,10078.0,8621.0,0.0,11972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19295.0,14611.0,20566.0,0.0,6123.0,10531.0,53426.0,58754.0,37678.0,41923.0,82193.0,82545.0,13935.0,7929.0,0.0,140412.0,29063.0,117936.0,62533.0,344.0,44560.0,163.0,0.0,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2390.0,2840.0,377712.0,1931609.0,0.0,0.0,0.0,1398.0,9930.0,0.0,0.0,0.0,0.0,0.0,61504.0,25812.0,0.0,125462.0,15610.0,64977.0,56866.0,35863.0,28149.0,2878.0,1565.0,2414.0,3264.0
Bolivia,37154096.0,38546714.0,41023002.0,38403163.0,37383472.0,38855774.0,38818570.0,41008345.0,39154317.0,34973995.0,35071488.0,38466913.0,34150138.0,32578852.0,25651636.0,20709785.0,13754317.0,12382460.0,17268699.0,22931591.0,25972773.0,25112039.0,25449427.0,30540087.0,28506619.0,28393054.0,27673683.0,25903422.0,24759278.0,27471671.0,26774201.0,24387274.0,25884373.0,28645687.0,28902347.0,30958376.0,30840591.0,29568653.0,37866658.0,42008644.0,41769284.0,42443932.0,50816427.0,46980619.0,58291083.0,60447365.0,62603647.0,64759929.0
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,808238.0,371054.0,294219.0,227000.0,152000.0,150000.0,150000.0,150000.0,617700.0,354000.0,283300.0,906482.0,1042616.0,2887739.0,2776722.0,2638404.0,3304467.0,2804338.0,1721511.0,1938285.0,1860499.0,2196611.0,2161488.0,2301911.0,2442334.0,2582757.0
Botswana,48310.0,34348.0,687.0,110946.0,535516.0,1303751.0,2518197.0,2400772.0,3081424.0,3088604.0,3115537.0,3629262.0,3635034.0,3870468.0,4036997.0,4150130.0,4056647.0,3570669.0,4725060.0,4505861.0,3991845.0,4125018.0,3976040.0,4226808.0,4243077.0,3875839.0,4563340.0,4018054.0,4520182.0,4407304.0,4103566.0,4412010.0,4921577.0,5549585.0,4697804.0,6234486.0,5900828.0,5118359.0,6190564.0,6301160.0,7767149.0,5451525.0,6060945.0,7792348.0,6648410.0,6850262.0,7052113.0,7253965.0
