"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","82.8146375717133","77.3285485231518","78.1983049797031","77.3253023982612","80.1911905950961","82.2739489764899","84.8584344101019","78.5879557831431","78.9785214439442","78.9155384208437","79.7265590386764","82.1857168964607","81.3091483665978","81.8361829296287","78.4843409458356","78.9143819733672","78.449596418125","76.8613896226947","76.7864403426428","54.2455274005993","54.2077817863457","55.1670429687635","54.5062952008299","54.8220156630242","56.0600388048704","55.6764388631966","55.5576693065937","56.7887186908318","55.1519819128302","54.8553976330398","53.7730213771596","52.654239933256","49.9838336675555","49.7525098541301","52.6887768108622","49.1068083975425","47.0465791388203","44.3839712761767","41.696725522281","40.5679040247869","39.8485014052602","37.0352955733151","37.7135905127166","36.376106609643","","","","","",
"Albania","ALB","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","21.8348509562713","19.3179143535364","21.4114012459249","20.5424414245523","18.8609027093348","17.1236997998568","16.1545932419832","14.4594648252083","16.5795072246344","12.211494040319","13.9094012308023","13.9357573708488","13.1871489259071","12.682550271803","13.8031727760097","12.8735241625481","13.194353081554","12.8660834189453","12.9622794740207","13.5794723059983","19.397186127521","26.7231534840777","26.0302134326171","23.3632888040398","23.7413843812739","21.2324499577107","23.7475976884952","20.5599712335848","14.6234955145272","14.3839604185674","14.0047654610761","12.7107134575057","10.0456150520028","10.7583134920268","10.613104915093","10.8725435042618","10.6450026520391","10.2653762962461","9.79317318999138","9.64962086437085","9.35801794740151","10.3482651897703","8.68356032352784","9.36138129984292","","","","","",
"Andorra","AND","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","15.0357812146657","14.7471027004866","13.7267748466485","13.0811549600656","12.3639823778078","11.4210972659395","10.7123970295452","9.53177305891232","8.22552738118329","7.51609289556265","6.69678460306571","6.18294657305107","5.9383837386975","5.86052146756304","5.69705384738659","5.56442285307216","5.2471168742549","4.91910718436572","4.7378874372681","3.09876254393586","3.08928901920605","2.84511076778812","2.70844163222161","2.78579873206643","2.73654860087004","2.74819029372852","2.7097719215677","2.73288926295798","2.76235877704945","2.73652488781896","2.61518326489698","2.55035052093583","2.56313706768655","2.71879028917629","2.5776639098299","2.47847235308475","2.25121888157045","2.06114172945409","1.98041622534208","1.84042886076469","1.83709348705053","1.51012527490301","1.53538627441814","1.50310513219729","","","","","",
"United Arab Emirates","ARE","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.144778291021272","0.112628589587084","0.0903556329546234","0.0850324624907724","0.0604005505875395","0.05717834347975","0.0535860177991089","0.0524779453060711","0.0536764702150155","0.0420873578332831","0.0424321794213108","0.0431294120184083","0.0597620461308902","0.0628231512897219","0.0684728805140118","0.0718927348509301","0.0682077044968466","0.0736224905758492","0.076318646925715","0.0754678468704493","0.0709942434317787","0.0683601656192528","0.0668064871580808","","","","","",
"Argentina","ARG","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","6.72353123146164","6.3577147747943","5.89092028754363","6.50758074276763","5.26290158079063","4.8766535118194","5.18998294075847","5.37992906737674","4.68797282342494","5.1467516801102","5.08872098879704","4.67498798365558","4.93025588308592","4.80416032491908","4.91668884779368","4.03861190358003","4.10532735922523","3.81154726444887","3.36028383986007","2.82701835237915","3.03754342715987","3.06321399393846","3.33033763167336","3.70073199997192","4.1519849857644","4.04553716073169","4.13331120472259","4.57964518815502","4.57016606742803","4.31278831985404","4.64654485870467","4.51117456352166","4.53787248057029","2.2615118885205","2.42015814699264","2.88457022526824","2.81254288584446","2.18800884305091","2.30632335282017","2.62673454422533","2.95439936551872","3.14409721409036","2.97226898403076","3.24500433015725","","","","","",
"Armenia","ARM","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.194562574759408","0.183104085016813","0.353822946174609","0.650206564641643","1.00989877799491","0.829067401021148","0.753544257600853","0.71311290945448","0.693882307899595","0.71373172719151","0.608061153578874","0.446467522042932","0.523082236095286","0.602659880265514","0.600786249465928","0.328860951762284","0.525445655615007","0.298824402018195","0.282982847597708","0.324793005283586","0.340447672177967","0.311316085621866","0.285363898723252","0.293101444958059","1.14528520427114","","","","","",
"American Samoa","ASM","Combustible renewables and waste (% of total energy)","EG.USE.CRNW.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
